date,open,high,low,close
2020-02-29,2.78480000,2.99900000,2.72730000,2.73290000
2020-03-01,2.73310000,2.84980000,2.57000000,2.61350000
2020-03-02,2.61370000,2.89110000,2.55050000,2.80010000
2020-03-03,2.80210000,2.82380000,2.63880000,2.75950000
2020-03-04,2.76090000,3.10000000,2.73100000,3.10000000
2020-03-05,3.10000000,3.32690000,2.97640000,3.08950000
2020-03-06,3.08830000,3.23260000,3.00000000,3.17480000
2020-03-07,3.17390000,3.26580000,2.97130000,2.98570000
2020-03-08,2.98570000,2.98770000,2.55700000,2.58940000
2020-03-09,2.58970000,2.66970000,2.26000000,2.53960000
2020-03-10,2.54040000,2.75000000,2.47560000,2.59430000
2020-03-11,2.59290000,2.68360000,2.28070000,2.51020000
2020-03-12,2.51010000,2.52370000,1.28160000,1.31900000
2020-03-13,1.31930000,1.94980000,0.95000000,1.76740000
2020-03-14,1.75920000,1.84000000,1.53300000,1.58590000
2020-03-15,1.58090000,1.76480000,1.42490000,1.54520000
2020-03-16,1.54460000,1.54460000,1.12000000,1.32320000
2020-03-17,1.32320000,1.48000000,1.28510000,1.36450000
2020-03-18,1.36400000,1.42060000,1.28230000,1.39980000
2020-03-19,1.39860000,1.74000000,1.35670000,1.63190000
2020-03-20,1.63160000,1.88020000,1.48000000,1.68250000
2020-03-21,1.68320000,1.76690000,1.57490000,1.66190000
2020-03-22,1.65960000,1.71760000,1.45000000,1.47250000
2020-03-23,1.47210000,1.69910000,1.44320000,1.67770000
2020-03-24,1.67520000,1.78180000,1.61670000,1.76110000
2020-03-25,1.75940000,1.79170000,1.64270000,1.71100000
2020-03-26,1.71300000,1.76000000,1.70000000,1.75460000
2020-03-27,1.75530000,1.78080000,1.56500000,1.58740000
2020-03-28,1.58530000,1.61360000,1.50510000,1.56170000
2020-03-29,1.56170000,1.57950000,1.46200000,1.46840000
2020-03-30,1.46810000,1.66000000,1.46190000,1.60660000
2020-03-31,1.60630000,1.63840000,1.54710000,1.60700000
2020-04-01,1.60850000,1.63340000,1.52040000,1.60890000
2020-04-02,1.60710000,1.80000000,1.58100000,1.66710000
2020-04-03,1.66520000,1.77910000,1.64850000,1.67530000
2020-04-04,1.67640000,1.73000000,1.65200000,1.69570000
2020-04-05,1.69750000,1.70690000,1.66190000,1.66500000
2020-04-06,1.66330000,1.91450000,1.65780000,1.91450000
2020-04-07,1.91490000,2.09910000,1.86680000,1.96090000
2020-04-08,1.95840000,2.17590000,1.92330000,2.14270000
2020-04-09,2.14520000,2.18000000,1.98500000,2.10780000
2020-04-10,2.10780000,2.11480000,1.81000000,1.90780000
2020-04-11,1.90630000,2.04290000,1.88660000,1.97350000
2020-04-12,1.97530000,2.06440000,1.88700000,2.00420000
2020-04-13,2.00240000,2.00430000,1.83920000,1.93530000
2020-04-14,1.93470000,1.99550000,1.90290000,1.94550000
2020-04-15,1.94490000,1.97690000,1.88870000,1.89890000
2020-04-16,1.89890000,2.13930000,1.83870000,2.10620000
2020-04-17,2.10650000,2.15840000,2.06000000,2.08700000
2020-04-18,2.08550000,2.37620000,2.08440000,2.32720000
2020-04-19,2.32540000,2.36980000,2.20700000,2.24210000
2020-04-20,2.24230000,2.34900000,2.05810000,2.12630000
2020-04-21,2.12470000,2.20680000,2.07760000,2.14680000
2020-04-22,2.14600000,2.34890000,2.13670000,2.33700000
2020-04-23,2.33700000,2.59200000,2.30480000,2.49800000
2020-04-24,2.49800000,2.76930000,2.49390000,2.71480000
2020-04-25,2.71400000,2.89800000,2.63280000,2.85860000
2020-04-26,2.85850000,2.85940000,2.72680000,2.76370000
2020-04-27,2.76840000,2.79220000,2.55000000,2.74190000
2020-04-28,2.74220000,2.82000000,2.65850000,2.74320000
2020-04-29,2.74510000,3.02540000,2.74010000,2.93530000
2020-04-30,2.93650000,3.04180000,2.66230000,2.75260000
2020-05-01,2.75120000,2.94880000,2.75040000,2.79750000
2020-05-02,2.79700000,2.86570000,2.77280000,2.83490000
2020-05-03,2.83490000,2.87490000,2.67640000,2.73600000
2020-05-04,2.73610000,2.84710000,2.59030000,2.77660000
2020-05-05,2.77650000,2.82950000,2.69380000,2.75020000
2020-05-06,2.75000000,2.80470000,2.64000000,2.65740000
2020-05-07,2.65740000,2.80470000,2.61000000,2.71800000
2020-05-08,2.71620000,2.82100000,2.67820000,2.75000000
2020-05-09,2.75000000,2.96550000,2.72320000,2.81060000
2020-05-10,2.81040000,2.81860000,2.21310000,2.55360000
2020-05-11,2.55470000,2.59360000,2.26250000,2.42600000
2020-05-12,2.42320000,2.58000000,2.40490000,2.51030000
2020-05-13,2.50910000,2.58910000,2.48230000,2.56960000
2020-05-14,2.56960000,2.61670000,2.49150000,2.54500000
2020-05-15,2.54600000,2.55200000,2.44150000,2.49010000
2020-05-16,2.48930000,2.65770000,2.47250000,2.62620000
2020-05-17,2.62860000,2.69210000,2.59990000,2.62340000
2020-05-18,2.62340000,2.77150000,2.62020000,2.75300000
2020-05-19,2.75420000,2.83720000,2.63290000,2.83530000
2020-05-20,2.83530000,2.89750000,2.71350000,2.82400000
